         25501 function calls (22701 primitive calls) in 0.070 seconds

   Ordered by: cumulative time
   List reduced from 82 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.004    0.000    0.070    0.001 /home/ubuntu/Trading-Agent/rl_agent.py:255(select_action)
      100    0.001    0.000    0.043    0.000 /home/ubuntu/Trading-Agent/rl_agent.py:94(get_action)
 1800/400    0.002    0.000    0.027    0.000 /usr/local/lib/python3.11/dist-packages/torch/nn/modules/module.py:1747(_wrapped_call_impl)
 1800/400    0.003    0.000    0.027    0.000 /usr/local/lib/python3.11/dist-packages/torch/nn/modules/module.py:1755(_call_impl)
      200    0.002    0.000    0.023    0.000 /usr/local/lib/python3.11/dist-packages/torch/nn/modules/container.py:238(forward)
      100    0.001    0.000    0.016    0.000 /home/ubuntu/Trading-Agent/rl_agent.py:76(forward)
      900    0.002    0.000    0.015    0.000 /usr/local/lib/python3.11/dist-packages/torch/nn/modules/linear.py:124(forward)
      100    0.000    0.000    0.013    0.000 /home/ubuntu/Trading-Agent/rl_agent.py:160(forward)
      900    0.012    0.000    0.012    0.000 {built-in method torch._C._nn.linear}
      100    0.005    0.000    0.009    0.000 /usr/local/lib/python3.11/dist-packages/torch/distributions/normal.py:81(log_prob)
      100    0.001    0.000    0.008    0.000 /usr/local/lib/python3.11/dist-packages/torch/distributions/normal.py:54(__init__)
      100    0.001    0.000    0.006    0.000 /usr/local/lib/python3.11/dist-packages/torch/distributions/normal.py:71(sample)
      100    0.002    0.000    0.005    0.000 /usr/local/lib/python3.11/dist-packages/torch/distributions/distribution.py:42(__init__)
      100    0.002    0.000    0.004    0.000 /home/ubuntu/Trading-Agent/rl_agent.py:288(_scale_action)
      600    0.000    0.000    0.004    0.000 /usr/local/lib/python3.11/dist-packages/torch/nn/modules/activation.py:132(forward)
      600    0.001    0.000    0.003    0.000 /usr/local/lib/python3.11/dist-packages/torch/nn/functional.py:1693(relu)
      100    0.003    0.000    0.003    0.000 {built-in method torch.normal}
      600    0.002    0.000    0.002    0.000 {built-in method torch.relu}
      100    0.000    0.000    0.002    0.000 /usr/local/lib/python3.11/dist-packages/torch/distributions/utils.py:26(broadcast_all)
      100    0.001    0.000    0.002    0.000 /usr/local/lib/python3.11/dist-packages/torch/distributions/distribution.py:275(_validate_sample)


